model_type,learning_rate,batch_size,epochs,weight_decay,hidden_size,num_hidden_layers,final_loss
NN,0.0001,32,7000,0.001,16,3,1.2006383540740073
NN,0.0001,256,500,1e-05,8,3,1.1994146308140774
NN,0.0001,256,500,1e-05,16,3,1.1839197809227342
HNN,0.0001,256,500,0.0001,8,3,1.184925453433432
NN,0.0001,256,500,0.0001,16,3,1.176444503552744
NN,0.0001,256,500,0.001,8,3,1.200831032697127
NN,0.0001,256,500,0.001,16,3,1.1997768045968091
NN,0.0001,256,5000,1e-05,8,3,0.3013449967156893
NN,0.0001,256,5000,1e-05,16,3,0.14567589005416406
NN,0.0001,256,5000,0.0001,8,3,0.2747265911002538
NN,0.0001,256,5000,0.0001,16,3,0.15030603765443779
NN,0.0001,256,5000,0.001,8,3,1.1956454076527552
NN,0.0001,256,5000,0.001,16,3,1.1340805900645556
NN,0.0001,256,7000,1e-05,8,3,0.22190145082054777
NN,0.0001,256,7000,1e-05,16,3,0.1379002365731794
NN,0.0001,256,7000,0.0001,8,3,0.22307638131923754
NN,0.0001,256,7000,0.0001,16,3,0.13507775270290454
NN,0.0001,256,7000,0.001,8,3,1.2005351811772111
NN,0.0001,256,7000,0.001,16,3,0.34460105594231993
NN,0.0001,512,500,1e-05,8,3,1.2006585597991943
NN,0.0001,512,500,1e-05,16,3,1.1951559782028198
NN,0.0001,512,500,0.0001,8,3,1.199379324913025
NN,0.0001,512,500,0.0001,16,3,1.1964212656021118
NN,0.0001,512,500,0.001,8,3,1.2004833221435547
NN,0.0001,512,500,0.001,16,3,1.1955662965774536
NN,0.0001,512,5000,1e-05,8,3,0.5547555685043335
NN,0.0001,512,5000,1e-05,16,3,0.18528877198696136
NN,0.0001,512,5000,0.0001,8,3,0.6555322408676147
NN,0.0001,512,5000,0.0001,16,3,0.1679677814245224
NN,0.0001,512,5000,0.001,8,3,0.9836217761039734
NN,0.0001,512,5000,0.001,16,3,1.1463978290557861
NN,0.0001,512,7000,1e-05,8,3,0.3175772726535797
NN,0.0001,512,7000,1e-05,16,3,0.16566011309623718
NN,0.0001,512,7000,0.0001,8,3,0.3166249990463257
NN,0.0001,512,7000,0.0001,16,3,0.18712837994098663
NN,0.0001,512,7000,0.001,8,3,1.200140118598938
NN,0.0001,512,7000,0.001,16,3,0.7160274386405945
HNN,0.001,8,500,1e-05,8,3,0.07174101904439877
HNN,0.001,8,500,1e-05,16,3,0.06622828009526663
HNN,0.001,8,500,0.0001,8,3,0.12777260617278985
HNN,0.001,8,500,0.0001,16,3,0.08094790027278113
HNN,0.001,8,500,0.001,8,3,0.4214793597990998
HNN,0.001,8,500,0.001,16,3,0.4214362154664105
HNN,0.001,8,5000,1e-05,8,3,0.06389775701553004
HNN,0.001,8,5000,1e-05,16,3,0.028937358911846723
HNN,0.001,8,5000,0.0001,8,3,0.05626576411378059
HNN,0.001,8,5000,0.0001,16,3,0.04991926289179117
HNN,0.001,8,5000,0.001,8,3,0.42132113161633206
HNN,0.001,8,5000,0.001,16,3,0.4214158334991423
HNN,0.001,8,7000,1e-05,8,3,0.043385050070538306
HNN,0.001,8,7000,1e-05,16,3,0.020299666387781065
HNN,0.001,8,7000,0.0001,8,3,0.06678795665950674
HNN,0.001,8,7000,0.0001,16,3,0.05037914749398578
HNN,0.001,8,7000,0.001,8,3,0.4214348583696527
HNN,0.001,8,7000,0.001,16,3,0.4214335605190389
HNN,0.001,32,500,1e-05,8,3,0.15832760368929746
HNN,0.001,32,500,1e-05,16,3,0.0878919147297927
HNN,0.001,32,500,0.0001,8,3,0.24132660062492642
HNN,0.001,32,500,0.0001,16,3,0.0976641640752928
HNN,0.001,32,500,0.001,8,3,0.4216813901478277
HNN,0.001,32,500,0.001,16,3,0.4214929439532707
HNN,0.001,32,5000,1e-05,8,3,0.062415461285842515
HNN,0.001,32,5000,1e-05,16,3,0.05031960622785481
HNN,0.001,32,5000,0.0001,8,3,0.07697941655893206
HNN,0.001,32,5000,0.0001,16,3,0.08116856317141066
HNN,0.001,32,5000,0.001,8,3,0.1547311649162899
HNN,0.001,32,5000,0.001,16,3,0.1359328624468967
HNN,0.001,32,7000,1e-05,8,3,0.072344702345058
HNN,0.001,32,7000,1e-05,16,3,0.021051143105122336
HNN,0.001,32,7000,0.0001,8,3,0.05702405101833982
HNN,0.001,32,7000,0.0001,16,3,0.0654181936545352
HNN,0.001,32,7000,0.001,8,3,0.1637894089750665
